Architecture,Training regime,Nimages,Nobjects,Pixel IoU,Pixel Dice,Pixel AP,Finite HD95 (px)
U-Net,Baseline,281,2799,0.607 (0.587-0.626),0.741 (0.724-0.756),0.752 (0.735-0.768),71.09 (61.36-82.98)
U-Net,Curriculum,281,2799,0.634 (0.616-0.652),0.765 (0.751-0.778),0.719 (0.703-0.733),61.40 (52.65-74.07)
U-Net++,Baseline,281,2799,0.644 (0.626-0.662),0.773 (0.759-0.786),0.679 (0.664-0.693),55.01 (49.68-61.71)
U-Net++,Curriculum,281,2799,0.669 (0.653-0.687),0.793 (0.779-0.805),0.713 (0.698-0.727),42.25 (38.93-50.77)
TransUNet,Baseline,281,2799,0.603 (0.585-0.622),0.740 (0.725-0.755,0.723 (0.706-0.738),64.10 (57.04-76.52)
TransUNet,Curriculum,281,2799,0.623 (0.605-0.641),0.757 (0.743-0.770),0.733 (0.715-0.748),61.63 (53.44-73.82)
