Architecture,Training regime,Nimages,Nobjects,Object precision,Object recall,Object F1,Count MAE,Count bias
U-Net,Baseline,281,2799,0.855 (0.836-0.873),0.760 (0.735-0.783),0.783 (0.764-0.801),2.49 (2.17-2.85),-1.48 (-1.89 to -1.07)
U-Net,Curriculum,281,2799,0.897 (0.880-0.914),0.784 (0.762-0.806),0.819 (0.802-0.836),2.23 (1.96-2.53),-1.42 (-1.77 to -1.07)
U-Net++,Baseline,281,2799,0.806 (0.786-0.826),0.842 (0.821-0.862),0.804 (0.787-0.821),2.12 (1.87-2.39),0.38 (0.02-0.74)
U-Net++,Curriculum,281,2799,0.852 (0.834-0.869),0.862 (0.842-0.881),0.842 (0.826-0.857),1.90 (1.67-2.15),0.06 (-0.26-0.40)
TransUNet,Baseline,281,2799,0.789 (0.768-0.809),0.790 (0.767-0.812),0.769 (0.750-0.787),2.32 (2.04-2.63),-0.36 (-0.76-0.03)
TransUNet,Curriculum,281,2799,0.771 (0.749-0.791),0.821 (0.798-0.842),0.777 (0.759-0.793),2.26 (2.01-2.53),0.27 (-0.09-0.65)
