table,final_word_source,repository_representation,source_status
Main Table 1,Main Tables (1).docx,paper/final_assets/reference_transcriptions/Main_Table_1_from_final_Word.csv,final_values_transcribed
Main Table 2,Main Tables (1).docx,paper/final_assets/reference_transcriptions/Main_Table_2_from_final_Word.csv,final_values_transcribed
Supplementary Table S1,CHANA Supplemental Figs & Tables (1).docx,,source_csv_pending
Supplementary Table S2,CHANA Supplemental Figs & Tables (1).docx,,source_csv_pending
Supplementary Table S3,CHANA Supplemental Figs & Tables (1).docx,paper/source_data/Table_S3_paired_statistics.csv,deposited
